bank,channel,code,recommend_level,recommend_reason,suitable_for,bank_tag
招商银行,零售理财,000961,4,宽基底仓工具，费率低，适合长期定投,稳健及以上家庭,长期底仓
招商银行,零售理财,012345,4,红利低波风格，波动低于普通权益基金,稳健家庭,稳健权益
招商银行,零售理财,511010,5,利率债工具，适合三年目标桶和防守资产,保守及稳健家庭,固收防守
平安银行,私人财富,518880,4,黄金ETF适合做组合分散和极端情境对冲,多数家庭小比例配置,黄金对冲
平安银行,私人财富,007119,3,海外科技指数，适合有全球分散需求的长期资金,平衡及以上家庭,海外分散
建设银行,财富管理,020020,5,短债稳健工具，适合安心生活桶和短期资金,保守家庭,短债现金
建设银行,财富管理,511010,4,国债ETF适合作为低波动资产配置工具,保守及稳健家庭,利率债
工商银行,财富管理,000961,4,沪深300类宽基工具，便于家庭长期资产配置,稳健及以上家庭,宽基指数
工商银行,财富管理,518880,3,黄金资产和股债相关性较低，可小比例配置,多数家庭,黄金
中国银行,财富管理,007119,4,QDII工具适合海外分散和外币目标配置,有海外教育或美元需求家庭,QDII
中国银行,财富管理,180101,3,REITs现金流属性较强，但需关注流动性,长期资金小比例配置,REITs
